"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Full-Time","One","Silver","Detached","PN05-107916","Geraldo S MANNING","Retail","Online","High School","Single","LOC_ID_1136","","C2"
"Full-Time Student","One","Bronze","Apartment","PN04-066068","Margarett S MANNING","Public Administration and Defence","Refferal","High School","Single","LOC_ID_1137","","AB"
"Other","One","Bronze","Terraces","PN04-042048","Scarlet S S S MANNING","Accommodation and Food","Online","High School","Single","LOC_ID_1138","","C2"
"Other","One","Platinum","Apartment","PN05-032710","Clifton S C S MARIN","Health","Event","Degree","Widowed","LOC_ID_1139","","C2"
"Full-Time","One","Bronze","Detached","PN05-064881","Dale S D S MARIN","Retail","Event","High School","Single","LOC_ID_1139","","DE"
"Full-Time","One","Bronze","Apartment","PN05-118820","Sharleen S MARIN","Water Supply","Online","Higher Education","Single","LOC_ID_114","","C1"
"Self Employed","One","Bronze","Semi-Detached	","PN04-045206","Alex S MARKS","Health","Refferal","Degree","Single","LOC_ID_1140","","C1"
"Full-Time","One","Gold","Apartment","PN04-059881","Eliseo S E S MARKS","Manufacturing","Refferal","Higher Education","Married","LOC_ID_1140","","AB"
"Full-Time","One","Silver","Detached","PN04-072836","Janetta S n S MARKS","Public Administration and Defence","Event","Degree","Single","LOC_ID_1140","","C1"
"Self Employed","One","Bronze","Apartment","PN04-074491","Kareen S MARKS","Transportation","Online","Other","Single","LOC_ID_1140","","DE"
"Part-Time","One","Gold","Semi-Detached	","PN04-080522","Lucia S L S MARKS","Transportation","Online","Aprenticeship","Single","LOC_ID_1140","","C2"
"Part-Time","One","Platinum","Terraces","PN04-100470","Verena S MARKS","Health","Online","Higher Education","Single","LOC_ID_1140","","C2"
"Full-Time","One","Platinum","Detached","PN04-106703","Collin S MARQUEZ","Professional, Scientific and Technical","Refferal","Higher Education","Divorced","LOC_ID_1140","","AB"
"Full-Time","Two","Bronze","Detached","PN04-113345","Fatimah S MARQUEZ","Retail","Retail","High School","Married","LOC_ID_1140","","DE"
"Retired","Three","Silver","Detached","PN05-019252","Ruthanne S MARQUEZ","Retail","Online","Higher Education","Single","LOC_ID_1140","","C2"
"Other","Two","Platinum","Detached","PN05-021286","Shanel S MARQUEZ","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1140","","AB"
"Retired","One","Bronze","Semi-Detached	","PN05-044187","Carson S r S MARSH","Health","Online","Degree","Single","LOC_ID_1140","","C1"
"Other","One","Gold","Detached","PN05-053911","Fabiola S MARSH","Accommodation and Food","Online","High School","Single","LOC_ID_1140","","C2"
"Other","One","Platinum","Semi-Detached	","PN05-060114","Jamey S MARSH","Accommodation and Food","Event","Higher Education","Single","LOC_ID_1140","","C2"
"Retired","Two","Silver","Apartment","PN05-065125","Karlyn S MARSH","Professional, Scientific and Technical","Refferal","Degree","Married","LOC_ID_1140","","AB"
"Part-Time","One","Bronze","Detached","PN05-088520","Sharolyn S MARSH","Professional, Scientific and Technical","Event","Degree","Divorced","LOC_ID_1140","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN05-097562","Angelyn S g S MARSHALL","Retail","Event","Higher Education","Married","LOC_ID_1140","","DE"
"Full-Time","One","Silver","Semi-Detached	","PN05-101830","Carmina S C S MARSHALL","Transportation","Online","Other","Single","LOC_ID_1140","","C2"
"Retired","One","Silver","Apartment","PN05-101904","Carolyne S r S MARSHALL","Health","Retail","Higher Education","Married","LOC_ID_1140","","C2"
"Full-Time","One","Bronze","Apartment","PN05-102430","Celina S MARSHALL","Accommodation and Food","Online","High School","Single","LOC_ID_1140","","DE"
"Full-Time","One","Bronze","Semi-Detached	","PN05-110880","Gerri S G S MARSHALL","Public Administration and Defence","Refferal","Degree","Single","LOC_ID_1140","","C2"
"Self Employed","One","Silver","Apartment","PN05-119128","Julieann S MARSHALL","Manufacturing","Online","Degree","Single","LOC_ID_1140","","AB"
"Full-Time","Four","Bronze","Semi-Detached	","PN05-120071","Katelin S t S MARSHALL","Public Administration and Defence","Online","Higher Education","Separated","LOC_ID_1140","","C1"
"Full-Time","One","Silver","Detached","PN05-122846","Leesa S MARSHALL","Health","Refferal","Aprenticeship","Same Sex","LOC_ID_1140","","C1"
"Self Employed","One","Platinum","Detached","PN04-036476","Martha S MARSHALL","Accommodation and Food","Online","High School","Single","LOC_ID_1141","","C2"
"Retired","One","Bronze","Detached","PN04-037861","Miki S MARSHALL","Accommodation and Food","Online","Higher Education","Married","LOC_ID_1141","","C2"
"Full-Time","One","Bronze","Detached","PN04-049720","Soraya S S S MARSHALL","Retail","Event","Other","Divorced","LOC_ID_1141","","C2"
"Full-Time","One","Silver","Apartment","PN04-051083","Tequila S MARSHALL","Construction","Refferal","Aprenticeship","Single","LOC_ID_1141","","DE"
"Part-Time","Four","Gold","Apartment","PN04-053757","Verona S MARSHALL","Manufacturing","Refferal","Higher Education","Single","LOC_ID_1141","","C1"
"Unemployed","One","Bronze","Apartment","PN04-058506","Alfredo S f S MARTIN","Professional, Scientific and Technical","Refferal","Degree","Married","LOC_ID_1141","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN04-078128","Evelin S MARTIN","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_1141","","C2"
"Full-Time","One","Bronze","Detached","PN04-092142","Leonore S MARTIN","Retail","Online","High School","Single","LOC_ID_1141","","C2"
"Part-Time","One","Gold","Apartment","PN04-100487","Nadene S MARTIN","Transportation","Online","Other","Divorced","LOC_ID_1141","","DE"
"Full-Time","Two","Gold","Apartment","PN04-101066","Nicolle S MARTIN","Accommodation and Food","Event","Higher Education","Divorced","LOC_ID_1141","","C2"
"Full-Time","Zero","Bronze","Apartment","PN04-120324","Cari S MARTINEZ","Education","Online","High School","Married","LOC_ID_1141","","C2"
"Part-Time","One","Gold","Apartment","PN04-123077","Clarence S MARTINEZ","Manufacturing","Refferal","Aprenticeship","Married","LOC_ID_1141","","C1"
"Retired","Two","Bronze","Apartment","PN05-000469","Crystal S MARTINEZ","Construction","Refferal","Aprenticeship","Married","LOC_ID_1141","","C2"
"Full-Time","One","Gold","Detached","PN05-014530","Hal S MARTINEZ","Manufacturing","Online","Aprenticeship","Married","LOC_ID_1141","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN05-015302","Hettie S MARTINEZ","Health","Online","Degree","Single","LOC_ID_1141","","AB"
"Full-Time","One","Bronze","Detached","PN05-022407","Kathie S t S MARTINEZ","Health","Online","Degree","Single","LOC_ID_1141","","C2"
"Retired","One","Silver","Apartment","PN05-060161","Clair S MASSEY","Health","Event","Degree","Single","LOC_ID_1141","","C1"
"Unemployed","One","Bronze","Semi-Detached	","PN05-079884","Jimmie S MASSEY","Energy Supply","Retail","Degree","Married","LOC_ID_1141","","C2"
"Full-Time","One","Silver","Apartment","PN05-087940","Linwood S MASSEY","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1141","","AB"
"Part-Time","Two","Platinum","Apartment","PN05-095310","Mohammad S MASSEY","Retail","Refferal","High School","Single","LOC_ID_1141","","C2"
"Full-Time","Two","Bronze","Terraces","PN05-097344","Norberto S N S MASSEY","Health","Online","Higher Education","Married","LOC_ID_1141","","C1"
"Other","Two","Platinum","Detached","PN05-098910","Queenie S MASSEY","Transportation","Online","Degree","Married","LOC_ID_1141","","DE"
"Part-Time","One","Platinum","Apartment","PN05-102432","Shon S MASSEY","Education","Event","Degree","Same Sex","LOC_ID_1141","","C2"
"Self Employed","One","Silver","Detached","PN04-094661","Hollie S MATA","Health","Refferal","Degree","Single","LOC_ID_1142","","C1"
"Full-Time","One","Bronze","Apartment","PN05-079840","Lavona S L S MATA","Public Administration and Defence","Online","Degree","Married","LOC_ID_1142","","C2"
"Retired","Two","Bronze","Apartment","PN04-064113","Morgan S MATA","Public Administration and Defence","Online","Degree","Single","LOC_ID_1143","","DE"
"Unemployed","One","Gold","Apartment","PN04-067990","Oren S O S MATA","Public Administration and Defence","Online","Aprenticeship","Divorced","LOC_ID_1143","","DE"
"Other","One","Gold","Apartment","PN04-087022","Sang S S S MATA","Manufacturing","Online","Higher Education","Single","LOC_ID_1143","","AB"
"Other","Three","Platinum","Terraces","PN05-066437","Berry S MATHEWS","Health","Online","Higher Education","Single","LOC_ID_1143","","C1"
"Unemployed","One","Silver","Apartment","PN05-079665","Coretta S C S MATHEWS","Manufacturing","Online","Degree","Divorced","LOC_ID_1143","","AB"
"Part-Time","Three","Bronze","Terraces","PN05-128286","Ema S MATHEWS","Accommodation and Food","Event","Higher Education","Single","LOC_ID_1143","","DE"
"Self Employed","One","Platinum","Detached","PN04-103522","Lindsay S MATHEWS","Retail","Online","High School","Married","LOC_ID_1144","","C2"
"Full-Time","One","Platinum","Semi-Detached	","PN04-118504","Mikki S k S MATHEWS","Accommodation and Food","Online","High School","Single","LOC_ID_1144","","DE"
"Part-Time","One","Silver","Terraces","PN05-022557","Renato S MATHEWS","Public Administration and Defence","Refferal","Aprenticeship","Divorced","LOC_ID_1144","","C1"
"Full-Time","Two","Bronze","Semi-Detached	","PN05-058305","Tammy S MATHEWS","Construction","Online","Aprenticeship","Single","LOC_ID_1144","","C1"
"Other","One","Silver","Apartment","PN05-091571","Adelia S MATHIS","Education","Online","Higher Education","Married","LOC_ID_1144","","C1"
"Full-Time","One","Gold","Apartment","PN05-103168","Bernie S B S MATHIS","Manufacturing","Online","Degree","Widowed","LOC_ID_1144","","DE"
"Part-Time","Two","Silver","Detached","PN05-110762","Clora S C S MATHIS","Manufacturing","Refferal","Aprenticeship","Single","LOC_ID_1144","","AB"
"Full-Time","Three","Platinum","Apartment","PN05-118504","Darby S MATHIS","Retail","Online","High School","Single","LOC_ID_1144","","DE"
"Full-Time","Two","Silver","Detached","PN05-124530","Deon S MATHIS","Professional, Scientific and Technical","Event","Degree","Separated","LOC_ID_1144","","AB"
"Retired","Three","Platinum","Detached","PN04-048575","Han S H S MATHIS","Education","Online","Degree","Married","LOC_ID_1145","","C2"
"Self Employed","One","Platinum","Semi-Detached	","PN05-005422","Mikel S MATHIS","Professional, Scientific and Technical","Event","Higher Education","Married","LOC_ID_1145","","AB"
"Part-Time","One","Silver","Terraces","PN05-033097","Raleigh S MATHIS","Professional, Scientific and Technical","Refferal","Higher Education","Married","LOC_ID_1145","","AB"
"Unemployed","One","Platinum","Apartment","PN05-055022","Viki S V S MATHIS","Transportation","Online","High School","Married","LOC_ID_1145","","DE"
"Self Employed","One","Bronze","Detached","PN05-111007","Carylon S MAXWELL","Transportation","Online","Higher Education","Single","LOC_ID_1145","","C2"
"Full-Time","Two","Platinum","Apartment","PN05-116365","Chantell S C S MAXWELL","Education","Online","Degree","Divorced","LOC_ID_1145","","C1"
"Self Employed","One","Platinum","Terraces","PN05-028101","Jeanett S a S MAXWELL","Education","Online","Degree","Married","LOC_ID_1146","","C2"
"Self Employed","Two","Platinum","Terraces","PN05-073562","Nicolle S MAXWELL","Transportation","Refferal","High School","Single","LOC_ID_1147","","C2"
"Other","One","Silver","Semi-Detached	","PN04-053109","Rupert S MAXWELL","Retail","Refferal","High School","Single","LOC_ID_1148","","C2"
"Retired","One","Silver","Apartment","PN05-048328","Bud S MAY","Retail","Refferal","Higher Education","Single","LOC_ID_1148","","DE"
"Full-Time","Three","Silver","Terraces","PN05-050145","Burton S r S MAY","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_1148","","C1"
"Part-Time","Two","Bronze","Apartment","PN04-114602","Isiah S MAY","Retail","Event","High School","Married","LOC_ID_1149","","DE"
"Part-Time","One","Gold","Terraces","PN04-035145","Krissy S MAY","Accommodation and Food","Online","High School","Single","LOC_ID_115","","DE"
"Retired","One","Gold","Terraces","PN04-043592","Lorraine S MAY","Public Administration and Defence","Online","Degree","Single","LOC_ID_115","","AB"
"Full-Time","One","Gold","Detached","PN04-061597","Nicolle S MAY","Retail","Refferal","Higher Education","Single","LOC_ID_115","","C2"
"Unemployed","One","Bronze","Apartment","PN04-072926","Raye S MAY","Health","Online","Higher Education","Single","LOC_ID_115","","C2"
"Full-Time","One","Bronze","Detached","PN04-098638","Sherron S MAY","Public Administration and Defence","Online","Higher Education","Single","LOC_ID_115","","C1"
"Full-Time","Three","Platinum","Terraces","PN05-059482","Dina S n S MAYER","Accommodation and Food","Retail","Other","Single","LOC_ID_115","","C2"
"Self Employed","One","Silver","Semi-Detached	","PN05-098804","Isaias S MAYER","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_115","","AB"
"Unemployed","One","Platinum","Detached","PN05-100789","Jamaal S J S MAYER","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_115","","AB"
"Part-Time","One","Silver","Terraces","PN05-114515","Jerry S MAYER","Transportation","Refferal","Aprenticeship","Single","LOC_ID_115","","DE"
"Other","Three","Bronze","Semi-Detached	","PN04-073308","Madeline S M S MAYER","Transportation","Online","Aprenticeship","Single","LOC_ID_1150","","DE"
"Full-Time","One","Bronze","Apartment","PN04-073799","Mai S MAYER","Water Supply","Retail","Degree","Married","LOC_ID_1150","","C1"
"Full-Time","One","Silver","Semi-Detached	","PN04-087285","Matt S MAYER","Public Administration and Defence","Event","Aprenticeship","Divorced","LOC_ID_1150","","AB"
"Full-Time","One","Silver","Apartment","PN04-100454","Mohammed S MAYER","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_1150","","C2"
"Full-Time","Three","Gold","Detached","PN04-104058","Otto S MAYER","Construction","Refferal","High School","Divorced","LOC_ID_1150","","C2"
"Other","One","Gold","Detached","PN05-008046","Van S MAYER","Accommodation and Food","Online","Other","Separated","LOC_ID_1150","","DE"
"Full-Time","Two","Silver","Terraces","PN05-051831","Annabelle S A S MAYNARD","Public Administration and Defence","Online","Other","Single","LOC_ID_1150","","C1"
"Part-Time","Two","Bronze","Semi-Detached	","PN05-072922","Bradly S MAYNARD","Retail","Refferal","High School","Single","LOC_ID_1150","","C2"
"Part-Time","One","Gold","Apartment","PN05-076130","Carolyne S MAYNARD","Retail","Event","High School","Single","LOC_ID_1150","","C2"
"Retired","One","Gold","Semi-Detached	","PN05-110056","Ester S t S MAYNARD","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1150","","AB"
"Full-Time","Two","Bronze","Apartment","PN04-100049","Jimmie S J S MAYNARD","Education","Online","Higher Education","Single","LOC_ID_1151","","C2"
"Unemployed","One","Gold","Detached","PN04-059444","Paige S MAYNARD","Construction","Refferal","Higher Education","Separated","LOC_ID_1152","","C1"
"Full-Time","One","Bronze","Terraces","PN04-062728","Quinn S MAYNARD","Retail","Refferal","Other","Married","LOC_ID_1152","","DE"
"Full-Time","One","Gold","Detached","PN04-069562","Rivka S MAYNARD","Public Administration and Defence","Refferal","Higher Education","Married","LOC_ID_1152","","AB"
"Retired","One","Gold","Apartment","PN04-071196","Royce S R S MAYNARD","Health","Online","Degree","Married","LOC_ID_1152","","C2"
"Part-Time","One","Silver","Apartment","PN04-074207","Sharolyn S a S MAYNARD","Transportation","Event","Degree","Single","LOC_ID_1152","","DE"
"Full-Time","One","Gold","Apartment","PN04-074521","Shayla S MAYNARD","Professional, Scientific and Technical","Online","High School","Same Sex","LOC_ID_1152","","AB"
"Unemployed","One","Gold","Apartment","PN04-113219","Xiomara S MAYNARD","Health","Online","Higher Education","Single","LOC_ID_1152","","C1"
"Full-Time","Two","Bronze","Detached","PN05-003868","Angelyn S MAYO","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_1152","","DE"
"Retired","One","Bronze","Apartment","PN05-048303","Earleen S MAYO","Education","Refferal","Degree","Single","LOC_ID_1152","","C1"
"Full-Time","Two","Gold","Apartment","PN05-113190","Love S MAYO","Public Administration and Defence","Online","Higher Education","Divorced","LOC_ID_1152","","DE"
"Unemployed","One","Platinum","Terraces","PN05-113654","Lucia S MAYO","Retail","Online","High School","Married","LOC_ID_1152","","C2"
"Full-Time","One","Silver","Apartment","PN05-080508","Neil S MAYO","Manufacturing","Retail","High School","Single","LOC_ID_1153","","C1"
"Full-Time Student","One","Bronze","Apartment","PN04-054025","Pamala S m S MAYO","Public Administration and Defence","Refferal","Degree","Divorced","LOC_ID_1154","","C1"
"Full-Time","Two","Platinum","Terraces","PN04-099384","Rivka S MAYO","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1154","","AB"
"Full-Time","Three","Platinum","Apartment","PN05-092477","Viki S MAYO","Education","Online","Higher Education","Single","LOC_ID_1154","","C2"
"Full-Time","Two","Bronze","Detached","PN04-046992","Aleta S MAYS","Manufacturing","Online","High School","Single","LOC_ID_1155","","DE"
"Self Employed","One","Platinum","Terraces","PN05-079749","Ian S MAYS","Retail","Online","Other","Single","LOC_ID_1155","","C2"
"Full-Time Student","One","Gold","Terraces","PN04-035619","Jung S MAYS","Public Administration and Defence","Retail","Degree","Single","LOC_ID_1156","","DE"
"Other","One","Platinum","Apartment","PN04-056307","Lourie S L S MAYS","Health","Online","Higher Education","Married","LOC_ID_1156","","C1"
"Unemployed","One","Silver","Apartment","PN05-043680","Derick S r S MCBRIDE","Transportation","Online","Aprenticeship","Single","LOC_ID_1156","","DE"
"Unemployed","Zero","Bronze","Semi-Detached	","PN05-057445","Felix S MCBRIDE","Retail","Online","Higher Education","Single","LOC_ID_1156","","DE"
"Full-Time","One","Gold","Detached","PN05-079535","John S J S MCBRIDE","Health","Event","Degree","Single","LOC_ID_1156","","C1"
"Full-Time","One","Platinum","Apartment","PN04-071384","Melany S M S MCBRIDE","Transportation","Online","Aprenticeship","Separated","LOC_ID_1157","","DE"
"Full-Time","One","Bronze","Terraces","PN04-110434","Parthenia S r S MCBRIDE","Professional, Scientific and Technical","Event","High School","Married","LOC_ID_1157","","AB"
"Full-Time","Three","Silver","Semi-Detached	","PN05-004018","Devorah S MCCALL","Retail","Online","High School","Divorced","LOC_ID_1158","","DE"
"Unemployed","One","Silver","Apartment","PN05-008096","Elyse S E S MCCALL","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1158","","AB"
"Full-Time","Two","Bronze","Apartment","PN05-020855","Gertrud S G S MCCALL","Accommodation and Food","Online","Higher Education","Single","LOC_ID_1158","","C2"
"Self Employed","One","Gold","Apartment","PN05-085495","Michel S MCCALL","Professional, Scientific and Technical","Online","Higher Education","Married","LOC_ID_1158","","AB"
"Full-Time","One","Platinum","Apartment","PN05-086729","Morgan S M S MCCALL","Accommodation and Food","Refferal","High School","Divorced","LOC_ID_1158","","DE"
"Full-Time","One","Gold","Detached","PN05-097140","Pa S MCCALL","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1158","","AB"
"Full-Time","One","Platinum","Apartment","PN04-058999","Alejandrina S A S MCCANN","Health","Refferal","Degree","Married","LOC_ID_1159","","C1"
"Self Employed","One","Silver","Apartment","PN05-007848","Ester S E S MCCANN","Public Administration and Defence","Event","Degree","Single","LOC_ID_1159","","C1"
"Full-Time","One","Bronze","Semi-Detached	","PN05-021258","Gil S MCCANN","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1159","","AB"
"Unemployed","One","Bronze","Apartment","PN05-075080","Paul S MCCANN","Health","Online","Degree","Separated","LOC_ID_1159","","C2"
"Full-Time","One","Gold","Apartment","PN05-079933","Rayford S MCCANN","Manufacturing","Refferal","Higher Education","Married","LOC_ID_1159","","DE"
"Full-Time","One","Gold","Apartment","PN05-082829","Renato S n S MCCANN","Education","Online","Higher Education","Single","LOC_ID_1159","","C2"
"Full-Time","Two","Platinum","Detached","PN05-114554","Stephani S MCCANN","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1159","","AB"
"Part-Time","Four","Platinum","Apartment","PN05-123401","Teofila S MCCANN","Manufacturing","Refferal","Aprenticeship","Widowed","LOC_ID_1159","","AB"
"Full-Time","Two","Silver","Detached","PN04-050994","Ariel S A S MCCARTHY","Retail","Refferal","High School","Single","LOC_ID_116","","AB"
"Other","One","Platinum","Apartment","PN04-055762","Brad S B S MCCARTHY","Health","Refferal","Degree","Single","LOC_ID_116","","C2"
"Self Employed","One","Gold","Semi-Detached	","PN04-102607","Emelia S e S MCCARTHY","Health","Online","Degree","Divorced","LOC_ID_116","","C1"
"Unemployed","Two","Silver","Terraces","PN05-007869","Jacqulyn S c S MCCARTHY","Retail","Online","Higher Education","Single","LOC_ID_116","","C2"
"Full-Time","One","Gold","Detached","PN05-018064","Jenise S MCCARTHY","Transportation","Online","Other","Married","LOC_ID_116","","C2"
"Full-Time","One","Gold","Semi-Detached	","PN05-030133","Kaleigh S MCCARTHY","Public Administration and Defence","Refferal","Degree","Widowed","LOC_ID_116","","C1"
"Part-Time","One","Gold","Apartment","PN05-032869","Kareen S K S MCCARTHY","Public Administration and Defence","Event","Aprenticeship","Separated","LOC_ID_116","","DE"
"Full-Time","One","Platinum","Detached","PN05-123936","Trudy S T S MCCARTHY","Accommodation and Food","Online","High School","Single","LOC_ID_116","","C2"
"Full-Time","One","Gold","Detached","PN04-118154","Annabelle S MCCARTY","Construction","Online","Aprenticeship","Divorced","LOC_ID_1160","","C2"
"Full-Time","Two","Gold","Apartment","PN05-003907","Bradly S MCCARTY","Accommodation and Food","Online","High School","Single","LOC_ID_1160","","C2"
"Part-Time","One","Bronze","Detached","PN05-011561","Carylon S C S MCCARTY","Retail","Online","Higher Education","Single","LOC_ID_1160","","C1"
"Self Employed","Four","Platinum","Terraces","PN05-019404","Cristy S MCCARTY","Accommodation and Food","Online","Higher Education","Single","LOC_ID_1160","","C2"
"Part-Time","One","Platinum","Apartment","PN05-063979","Eleanora S MCCARTY","Health","Refferal","Higher Education","Single","LOC_ID_1160","","C1"
"Full-Time","One","Bronze","Detached","PN04-044521","Leesa S MCCARTY","Public Administration and Defence","Online","Degree","Divorced","LOC_ID_1161","","DE"
"Unemployed","One","Bronze","Apartment","PN04-044544","Leonard S MCCARTY","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_1161","","AB"
"Retired","Three","Platinum","Semi-Detached	","PN04-051581","Minna S MCCARTY","Public Administration and Defence","Online","Degree","Single","LOC_ID_1161","","C1"
"Self Employed","One","Bronze","Apartment","PN04-051595","Mirta S M S MCCARTY","Retail","Refferal","High School","Separated","LOC_ID_1161","","DE"
"Other","One","Gold","Detached","PN04-053171","Nicole S MCCARTY","Education","Refferal","Degree","Married","LOC_ID_1161","","C1"
"Part-Time","One","Gold","Detached","PN04-055326","Paul S P S MCCARTY","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1161","","AB"
"Other","One","Platinum","Apartment","PN04-065254","Tanika S MCCARTY","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_1161","","DE"
"Other","One","Platinum","Terraces","PN04-075516","Amparo S p S MCCLURE","Retail","Online","Other","Married","LOC_ID_1161","","DE"
"Retired","One","Gold","Detached","PN04-076943","Annemarie S MCCLURE","Water Supply","Online","High School","Separated","LOC_ID_1161","","C2"
"Full-Time","One","Silver","Apartment","PN04-085155","Danika S D S MCCLURE","Retail","Online","High School","Divorced","LOC_ID_1161","","C1"
"Retired","One","Silver","Apartment","PN04-097564","Jesusita S MCCLURE","Retail","Online","Higher Education","Divorced","LOC_ID_1161","","C2"
"Full-Time","One","Gold","Detached","PN04-102179","Lucia S MCCLURE","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1161","","AB"
"Full-Time","One","Silver","Terraces","PN04-103668","Marth S MCCLURE","Professional, Scientific and Technical","Refferal","Higher Education","Married","LOC_ID_1161","","AB"
"Full-Time","One","Platinum","Apartment","PN04-104353","Mattie S M S MCCLURE","Manufacturing","Refferal","Degree","Single","LOC_ID_1161","","C1"
"Full-Time","Two","Gold","Detached","PN04-107432","Penny S MCCLURE","Retail","Online","High School","Single","LOC_ID_1161","","DE"
"Full-Time","Four","Gold","Apartment","PN04-119212","Vickie S MCCLURE","Professional, Scientific and Technical","Event","Degree","Married","LOC_ID_1161","","AB"
"Other","Three","Silver","Apartment","PN05-025305","Ismael S MCCONNELL","Retail","Refferal","Higher Education","Separated","LOC_ID_1161","","DE"
"Full-Time","Two","Platinum","Terraces","PN05-038151","Ling S  S MCCONNELL","Accommodation and Food","Online","Higher Education","Married","LOC_ID_1161","","C2"
"Full-Time","One","Platinum","Detached","PN05-045875","Mohammed S MCCONNELL","Manufacturing","Online","High School","Widowed","LOC_ID_1161","","AB"
"Part-Time","One","Bronze","Detached","PN05-061546","Vasiliki S MCCONNELL","Professional, Scientific and Technical","Refferal","Other","Single","LOC_ID_1161","","AB"
"Self Employed","One","Bronze","Terraces","PN05-073390","Autumn S A S MCCOY","Retail","Online","High School","Single","LOC_ID_1161","","C2"
"Full-Time","One","Bronze","Detached","PN05-078771","Clora S C S MCCOY","Manufacturing","Online","High School","Single","LOC_ID_1161","","AB"
"Full-Time","One","Platinum","Detached","PN05-082416","Dillon S MCCOY","Health","Refferal","High School","Divorced","LOC_ID_1161","","C1"
"Full-Time","Two","Silver","Apartment","PN05-091156","Janita S MCCOY","Construction","Event","Degree","Single","LOC_ID_1161","","C2"
"Unemployed","Three","Silver","Apartment","PN05-103529","Pamala S P S MCCOY","Retail","Online","High School","Married","LOC_ID_1161","","DE"
"Full-Time","One","Gold","Detached","PN05-113790","Warren S MCCOY","Health","Refferal","Degree","Single","LOC_ID_1161","","C2"
"Self Employed","One","Platinum","Detached","PN05-124132","Candi S MCCULLOUGH","Public Administration and Defence","Event","Aprenticeship","Single","LOC_ID_1161","","DE"
"Full-Time","Three","Silver","Semi-Detached	","PN05-127429","Celina S MCCULLOUGH","Health","Refferal","Degree","Divorced","LOC_ID_1161","","C2"
"Full-Time","One","Bronze","Detached","PN04-126737","Craig S MCCULLOUGH","Health","Refferal","Degree","Single","LOC_ID_1162","","DE"
"Self Employed","One","Platinum","Apartment","PN05-074107","Delcie S MCCULLOUGH","Public Administration and Defence","Online","Aprenticeship","Widowed","LOC_ID_1162","","AB"
"Full-Time","Two","Silver","Semi-Detached	","PN04-035054","Eleonor S E S MCCULLOUGH","Retail","Event","High School","Married","LOC_ID_1163","","DE"
"Unemployed","Two","Platinum","Terraces","PN04-051925","Krysta S K S MCCULLOUGH","Education","Refferal","Degree","Married","LOC_ID_1163","","AB"
"Part-Time","One","Platinum","Apartment","PN04-056242","Maddie S MCCULLOUGH","Public Administration and Defence","Refferal","Aprenticeship","Widowed","LOC_ID_1163","","AB"
"Other","One","Bronze","Semi-Detached	","PN04-073776","Rosia S MCCULLOUGH","Transportation","Online","Degree","Single","LOC_ID_1163","","C2"
"Full-Time Student","One","Silver","Terraces","PN04-079328","Susana S S S MCCULLOUGH","Health","Refferal","Degree","Divorced","LOC_ID_1163","","C1"
"Self Employed","One","Bronze","Detached","PN04-082322","Versie S MCCULLOUGH","Transportation","Event","Higher Education","Divorced","LOC_ID_1163","","C2"
"Part-Time","One","Platinum","Detached","PN04-084258","Abe S A S MCDANIEL","Transportation","Online","Higher Education","Separated","LOC_ID_1163","","DE"
"Full-Time","Three","Bronze","Detached","PN04-086757","Aracelis S MCDANIEL","Accommodation and Food","Refferal","Higher Education","Divorced","LOC_ID_1163","","DE"
"Retired","One","Platinum","Terraces","PN04-094233","Corliss S C S MCDANIEL","Energy Supply","Refferal","Aprenticeship","Widowed","LOC_ID_1163","","C1"
"Other","One","Gold","Terraces","PN04-102151","Gregg S MCDANIEL","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1163","","AB"
"Retired","Two","Platinum","Apartment","PN04-103462","Jannie S MCDANIEL","Transportation","Online","Other","Married","LOC_ID_1163","","DE"
"Full-Time","One","Bronze","Apartment","PN04-125690","Ruthanne S R S MCDANIEL","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_1163","","AB"
